Year Reported to CDP	Account Number	Organization	City	Country	CDP Region	Access	Climate hazard	Adaptation action	Action title	Status of action	Means of implementation	Co-benefit area	Sectors/areas adaptation action applies to	Action description and implementation progress	Finance status	Majority funding source	Currency used for reported financial information	Total cost of project	Total cost provided by the local government	Total cost provided by majority funding source	Web link	Population	Population Year	City Location	Last update
2020	63941	Broward County, FL	Broward	United States of America	North America	public	Flood and sea level rise > Permanent inundation	Sea level rise modelling	Unified Sea Level Rise Projection for Southeast Florida	Operation		Disaster preparedness; Disaster Risk Reduction; Enhanced climate change adaptation; Enhanced resilience; Improved access to data for informed decision-making		Unified Sea Level Rise Projection for Southeast Florida is operational, Broward County is continually modeling for saltwater intrusion of our freshwater aquifers, working with state and regional partners to study impacts on infrastructure, and adopting land use policies and ordinances to increase resilience to climate change and sea level rise. The Unified Sea Level Rise projection serves as the basis for the Priority Planning Area Map in the Land Use Plan which indicates areas at risk of inundation and tidal flooding due to 3.3 feet of sea level rise east of the salinity control structures. Vulnerable areas are required to redevelop resiliently and meet specific criteria based on the Land Use Plan's Future Conditions Map Series.	Finance secured		USD US Dollar				http://southeastfloridaclimatecompact.org/wp-content/uploads/2015/10/2015-Compact-Unified-Sea-Level-Rise-Projection.pdf	1919644	2019	POINT (80.3659 26.1901)	2021-05-20T02:38:05.560
2020	54513	Municipality of Uppsala	Uppsala	Sweden	Europe	public	Extreme Precipitation > Rain storm	Storm water capture systems	Secondary drainage paths	Pre-implementation		Disaster preparedness		"Uppsala aims to secure secondary drainage paths when building new areas and developing current ones. At high tides, storm water should be able to flow to floodable areas, such as roads and parks, and from there led to the recipient, hence protecting the buildings. In the Comprehensive plan of Uppsala, important drainage paths have been designated. A ""downpour plan"" is under development."	Finance secured	Local	SEK Swedish Krona	0	0			230767	2019	POINT (17.635 59.8536)	2021-05-20T02:38:05.560
2020	834058	Bogor Regency		Indonesia	Southeast Asia and Oceania	public	Mass movement > Landslide	Other, please specify: IMPROVEMENT OF NATURAL DISASTER PREVENTION AND PROSPERITY	IMPROVEMENT OF NATURAL DISASTER PREVENTION AND PROSPERITY	Operation		Disaster preparedness; Improved resource security (e.g. food, water, energy)		Program to Increase Prevention and Preparedness for Natural Disasters and Emergency Response Programs for Natural Disasters. Some activities to address disasters include the preparation of disaster risk maps, disaster management policy making, organizational development and awareness of disaster preparedness, community formation and strengthening of disaster resilient villagesActivities carried out in general for each disaster event, this is a mitigation effort in the event of a disaster,	Feasibility finalized, and finance partially secured	Local	IDR Rupiah	4761838000	4761838000		https://www.radarbogor.id/2018/11/27/antisipasi-bencana-bpbd-kabupaten-bogor-bentuk-desa-tangguh-bencana/	5965410	2019		2021-05-20T02:38:05.560
2020	31173	Comune di Milano	Milano	Italy	Europe	public	Extreme hot temperature > Heat wave	Incorporating climate change into long-term planning documents	Piano del Governo del Territorio (i.e. City Masterplan) Set of rules Art.10	Implementation complete but not in operation		Ecosystem preservation and biodiversity improvement; Enhanced climate change adaptation; Enhanced resilience; Improved resource quality (e.g. air, water); Promote circular economy; Reduced GHG emissions; Resource conservation (e.g. soil, water); Shift to more sustainable behaviours		The level of the comfort in a city and its ecological footprint are often an expression of the technological quality of its fabric, which on many occasions constitutes a source of pollution and thermal emissions. In order to make the building heritage a part of the new sustainable vision of the city, and in light of the objectives set by the municipality in the city Masterplan (PGT - Piano di Governo del Territorio) 2030 for a greener, livable and resilient city, Milan developed a tool to support that vision.The new PGT's Article 10 defines new sustainability standards, both for new construction interventions and for the regeneration of existing assets. All interventions must act in terms of reduction and minimization of carbon emissions; on the other hand, it aims to improve drainage and urban microclimate, mitigate the urban heat island effect and raise housing standards thanks to the increase in the presence of greenery and permeable surfaces through the introduction of a climate impact reduction index - RIC.In order to guide and monitor the achievement of these requirements, the article issues: 1)Reduction of CO2 emissions compared to the superordinate regulation for interventions on the existing and the achievement of carbon neutrality for new buildings. These parameters can be reached through a catalogue of solutions including high energy performance, integrated green spaces in buildings, technologies for reduced water consumption and reuse of rainwater, sustainable or recycled content materials, sustainable mobility, etc.2)The application of the index of climate impact reduction RIC - developed as the relationship between green surfaces and the territorial surface of the intervention, diversified according to the type of areas in which it operates. These parameters can be reached through a catalogue of solutions including the various permeable surfaces - green or semi-paved - on the ground, green roofs and walls, basement roofs, etc.If these parameters are not reachable, it is possible to proceed through monetization, whose resources will be used for the construction of the future metropolitan park as well as for the de-paving of external areas identified within one of the tables included in the PGT. The creation of the climate impact reduction index - RIC - was possible thanks to a long phase of study and analysis of similar tools already adopted by other cities in the global panorama. Reference is made in particular to the BAF - Biotope Area Factor, the RIE - Reduction of the building impact and the Urban Green Factor. This study phase allowed to define the definition of RIC and to adapt it to the concrete possibilities linked to the urban and morphological fabric of the city of Milan.	Feasibility undertaken	Local	EUR Euro				https://www.pgt.comune.milano.it/	1404431	2019	POINT (9.08635 45.8026)	2021-05-20T02:38:05.560
2020	35897	Municipality of Campinas	Campinas	Brazil	Latin America	public	Wild fire > Land fire	Real time risk monitoring	Operação Estiagem	Operation	Development and implementation of action plan; Monitor activities; Stakeholder engagement	Disaster preparedness; Ecosystem preservation and biodiversity improvement; Enhanced resilience; Improved access to data for informed decision-making; Improved public health; Improved resource quality (e.g. air, water); Improved resource security (e.g. food, water, energy); Reduced GHG emissions; Resource conservation (e.g. soil, water); Shift to more sustainable behaviours	Public Health and Safety; Social Services	Monitoramento das queimadas através de parceria Defesa Civil, Secretaria do Verde, Meio Ambiente e Desenvolvimento Sustentável e Instituto de Pesquisas Espaciais, com o uso dos satélites deste último que reporta os locais de incidência de queimadas no município. Com base nestes dados é possível otimizar e planejar os trabalhos de campo.Não foi contabilizado custos do projeto visto que o monitoramento se dá através dos órgãos das duas esferas de governo (Federal e Municipal).	Finance secured	Other, please specify: Fontes federais e municipais.	BRL Brazilian Real				https://resiliente.campinas.sp.gov.br/	1204073	2019	POINT (-46.9372 -22.744)	2021-05-20T02:38:05.560
2020	50378	Municipalidad de San José	San José	Costa Rica	Latin America	public	Flood and sea level rise > Flash / surface flood	Tree planting and/or creation of green space	Corredor Biológico Interurbano Río María Aguilar y Agencia Intermunicipal del Río María Aguilar AIRMA	Implementation	Assessment and evaluation activities; Awareness raising program or campaign; Capacity building and training activities; Development and implementation of action plan; Monitor activities; Stakeholder engagement	Disaster preparedness; Disaster Risk Reduction; Ecosystem preservation and biodiversity improvement; Enhanced climate change adaptation; Enhanced resilience; Improved access to and quality of mobility services and infrastructure; Improved access to data for informed decision-making; Improved public health; Reduced GHG emissions; Resource conservation (e.g. soil, water)	Building and Infrastructure; Industry; Public Health and Safety; Social Services; Spatial Planning; Transport (Mobility); Water	La Agencia Intermunicipal de la Sub-cuenca del Río María Aguilar –AIRMA– se ha planteado como objetivo general “Construir de manera integral paradigmas para el desarrollo urbano que cambien de manera significativa la interrelación entre la ocupación del territorio y el manejo de la red hídrica en aguas pluviales, potables, residuales y cuerpos de agua”. De dicho objetivo, se desprenden otros específicos que deben cumplirse según lo establecido en el Plan Operativo 2019-2021 y para alcanzar las metas planteadas, la Municipalidad de San José, desde la Dirección de Desarrollo Urbano ha venido trabajando activamente de las diferentes reuniones de equipo técnico, sesiones de consejo, giras de campo a los cantones involucrados y reuniones de comisiones Ah-Doc para Red Pluvial y Homologación de Planes Regulares que ha organizado AIRMA en conjunto con sus diferentes participantes del Equipo Técnico, representantes de las municipalidades de La Unión, Curribadat, Montes de Oca, Consejo Local del Corredor Biológico Interurbano María Aguilar – CLCBIMA–, Proyecto Paisajes Productivos –GE F-PNUD–, Proyecto Biodiver_City-IKI-GIZ .El Convenio Cooperativo Intermunicipal Agencia de Subcuenca Río María Aguilar se firma el día 7 de marzo de 2018 por los alcaldes de San José, Montes de Oca, Curridabat La Unión con el principal objetivo de construir nuevos paradigmas para el desarrollo urbano, que modifiquen sustancialmente la relación entre ocupación urbana del territorio y manejo de las aguas pluviales, aguas residuales, aguas potable y cuerpos de agua. El convenio establece que para esta finalidad se requieren enfoques, normas e inversiones comunes de todos los municipios involucrados.Proyecto financiado por el PNUD y el GEF.	Finance secured	International (ODA)	CRC Costa Rican Colon					344851	2019	POINT (9.9326 -84.0796)	2021-05-20T02:38:05.560
2020	50568	City of Saskatoon	Saskatoon	Canada	North America	public	Biological hazards > Insect infestation	Disease prevention measures	Urban Forestry Management Plan	Implementation		Ecosystem preservation and biodiversity improvement; Enhanced climate change adaptation; Enhanced resilience; Resource conservation (e.g. soil, water)		This action is in-progress and specific to tree health (not public health). Work underway supports activities looking to prepare for and respond to the Cottony Ash Psyllid and Dutch Elm Disease infestations.	Feasibility finalized, and finance partially secured	Local	CAD Canadian Dollar				https://www.saskatoon.ca/sites/default/files/documents/corporate-performance/environmental-corporate-initiatives/climate-change/2016_-_report_-_existing_climate_change_adaptation_strategies.pdf	275242	2019	POINT (-106.67 52.1332)	2021-05-20T02:38:05.560
2020	848476	Municipalidad de Cañas		Costa Rica	Latin America	public	Flood and sea level rise > Flash / surface flood	Community engagement/education	Educación Ambiental	Implementation	Awareness raising program or campaign; Capacity building and training activities; Education	Ecosystem preservation and biodiversity improvement; Improved resource efficiency (e.g. food, water, energy); Resource conservation (e.g. soil, water); Shift to more sustainable behaviours	Waste; Water	La Municipalidad desarrolla un programa de educación ambiental en centros educativos del cantón, así como en comunidades, instituciones y empresas. Se desarrollan temas como ahorro de energía, agua, manejo adecuado de residuos sólidos, cambio climático, entre otros.	Finance secured	Local	CRC Costa Rican Colon	500000	500000	500000	Actualmente la Municipalidad  cuenta con un plan de Medidas de Adaptación, en donde se ha establecido la educación ambiental como una acción de adaptación.	26201	2011		2021-05-20T02:38:05.560
2020	35872	Municipality of Recife	Recife	Brazil	Latin America	public	Extreme hot temperature > Extreme hot days	Tree planting and/or creation of green space	Plano de Arborização	Operation	Awareness raising program or campaign; Stakeholder engagement	Ecosystem preservation and biodiversity improvement; Enhanced climate change adaptation; Enhanced resilience; Improved public health; Improved resource quality (e.g. air, water); Reduced GHG emissions; Resource conservation (e.g. soil, water); Shift to more sustainable behaviours	Public Health and Safety	"A Prefeitura da cidade, através de um mapeamento de ilhas de calor, prioriza o plantio em áreas urbanas localizadas nessas regiões. Além disso, os planos de manejo de todas as 25 unidades de conservação da cidade, o que corresponde a 38% do território municipal, foram elaborados. Alguns fatores que serão avaliados são a importância histórica da área, a evolução da ocupação, a fauna, a flora e os impactos ambientais provocados pela presença do homem nas áreas. Concluída a categorização, será possível definir se a unidade se presta a uso sustentável ou ficará sujeita à proteção integral. Em todo esse contexto, o papel do aumento e manutenção do verde dessas áreas é primordial.A Prefeitura do Recife, por meio da Secretaria de Meio Ambiente e Sustentabilidade (SMAS), oferece à população o projeto “Bora Plantar"", que faz parte do Plano de Arborização da Capital e visa ordenar e planejar o plantio de árvores no município. Além disso, o “Bora Plantar” tem o objetivo de incentivar o plantio, ampliar a vegetação e fomentar o paisagismo dos espaços de uso coletivo na cidade. O projeto vai atuar de duas maneiras: através do número 156 e de acordo com o planejamento da SMAS, que terá como critérios os locais com baixa cobertura do verde e elevada temperatura de superfície, além de vias com rotas cicláveis. A arborização urbana se faz necessária para equilibrar o clima, aumentar a permeabilização do solo e proporcionar melhorias na qualidade de vida. Além do plantio, através do 156 o cidadão também pode solicitar os serviços de poda; tratamento fitossanitário; análise das raízes; destoca; pontos de confinamento dentre outros.  Para alguns serviços, é necessária vistoria técnica para análise e parecer.Na busca por aumentar a cobertura vegetal da cidade, o prefeito Geraldo Julio lançou em 2019 a Maratona Verde. A iniciativa inédita realizou o plantio de 10 mil mudas, no período entre 3 e 9 de junho do ano passado. A ação contou com o apoio da sociedade civil, por meio de escolas, igrejas, condomínios particulares e lojas."	Finance secured	Public-private partnership	BRL Brazilian Real				http://www2.recife.pe.gov.br/node/290632	1645727	2019	POINT (-34.8829 -8.05783)	2021-05-20T02:38:05.560
2020	50364	Municipalidad de La Paz	La Paz (Bolivia)	Bolivia (Plurinational State of)	Latin America	public	Flood and sea level rise > Flash / surface flood	No action currently taken									BOB Boliviano					798	2017	POINT (-68.15 -16.5)	2021-05-20T02:38:05.560
2020	35848	Municipality of Belo Horizonte	Belo Horizonte	Brazil	Latin America	public	Extreme Precipitation > Rain storm	Crisis management including warning and evacuation systems	Plano de Contingência para Enfrentamento de Desastres no Município de Belo Horizonte,	Implementation	Capacity building and training activities	Disaster preparedness; Disaster Risk Reduction; Enhanced climate change adaptation; Enhanced resilience	Building and Infrastructure	Inclui a definição das ações de prevenção, mitigação, preparação, resposta e recuperação em situação de ocorrências de eventos de inundação	Pre-feasibility/impact assessment study status	Local	BRL Brazilian Real					2513451	2019	POINT (-43.9345 -19.9167)	2021-05-20T02:38:05.560
2020	62855	Egedal Municipality	Egedal	Denmark	Europe	public	Chemical change > Atmospheric CO2 concentrations	Diversifying power/energy supply	Energy Plan	Pre-feasibility study/impact assessment	Awareness raising program or campaign; Development and implementation of action plan; Infrastructure development; Stakeholder engagement	Improved access to data for informed decision-making; Improved resource efficiency (e.g. food, water, energy); Improved resource security (e.g. food, water, energy); Promote circular economy; Reduced GHG emissions; Shift to more sustainable behaviours	Building and Infrastructure; Energy; Transport (Mobility)	All 33 municapilties in the Greater Copenhagen Area have formed a strategic energy plan to meet the vision of a fossil free electricity and heating sector in 2035, together with a road map for actions until 2025. Egedal Municipality is making an assesment to find out what is feasible for the municipality	Feasibility undertaken	(Sub)national	DKK Danish Krone	0	0		https://www.gate21.dk/wp-content/uploads/2018/05/EPT_F%C3%A6lles-Strategisk-Energiplan_WEB.pdf	43354	2020	POINT (12.2387 55.795)	2021-05-20T02:38:05.560
2020	10495	City of Las Vegas	Las Vegas	United States of America	North America	public	Flood and sea level rise > Flash / surface flood	Restrict development in at risk areas		Implementation				Certain areas within the Las Vegas Valley floodplain are protected from development. National Monument and Federal land designations restrict development as well as zoning designations for parks and open space along washes.			USD US Dollar					675971	2019	POINT (-115.14 36.1699)	2021-05-20T02:38:05.560
2020	840521	City of Denizli		Turkey	Europe	public	Water Scarcity > Drought	Other, please specify:  Plant selection according to water requirement and rotation of crops	Sustaining agricultural productivity	Pre-feasibility study/impact assessment		Enhanced climate change adaptation; Improved resource security (e.g. food, water, energy)		"Target: Increasing agricultural land resistant to climatic impactsStakeholders: Ministry of Agriculture and ForestryTAGEM (General Directorate of Agricultural Research and Policies), TKDK (Agriculture and Rural Development Support Institution), Universities, Farmers, Chamber of Agricultural Engineers, Chambers of Agriculture, Cooperatives and Associations, DSIAssociated Risk: Reduced agricultural productivity and production due to extreme temperaturesAction Severity Rating: PrimaryActivities to be Conducted: 	Determination of crop types suitable for climate and water availability in agriculture basins and offering incentives	Establishment of support mechanisms dedicated to climate change adaptation activities 	Impact analysis of climate change on important agricultural products in the province	Determination and monitoring of possible changes in agricultural yield, production and area information due to climate change	Guidance for crop growers (farmers) for the development of suitable crop varieties	Improvement of public investments for improving soil quality (increasing organic substance, etc.)	Monitoring changes in soil organic carbon stock and carrying out studies to increase carbon stock	Research on climatic impacts of crops supported under agricultural basin production and support model	Planning and implementation by the Ministry of Agriculture and Forest of the appropriate product pattern to be selected in parallel with the soil structure-climate-food need by considering the local climatic conditions"	Pre-feasibility/impact assessment study status	Local	TRY New Turkish Lira	900				1027782	2018		2021-05-20T02:38:05.560
2020	35873	Municipality of Medellín	Medellín	Colombia	Latin America	public		Tree planting and/or creation of green space									COP Colombian Peso					2533424	2020	POINT (-75.5735 6.22729)	2021-05-20T02:38:05.560
2020	46470	Ayuntamiento de Vitoria-Gasteiz	Vitoria-Gasteiz	Spain	Europe	public	Water Scarcity > Drought	Water use audits	Auditorías de uso de agua en el sector terciario e institucional	Operation	Awareness raising program or campaign	Enhanced climate change adaptation; Enhanced resilience; Improved resource efficiency (e.g. food, water, energy); Shift to more sustainable behaviours	Public Health and Safety; Water	A través del Plan FUTURA se llevan a cabo auditoría a los edificios municipales y a otros edificios del sector terciario  (centros comerciales, piscinas, etc.) grandes consumidores de agua. Como consecuencia de las mismas se instalan sistemas reductores de caudal, así como equipos que usan el agua de una manera eficiente.  En el coste total del proyecto se recoge el coste del conjunto del Plan Futura, y no específicamente el relacionado con la realización de auditorías.	Finance secured	Local	EUR Euro	575271	575271		https://www.vitoria-gasteiz.org/docs/wb021/contenidosEstaticos/adjuntos/es/58/12/55812.pdf	252574	2019	POINT (-2.67 42.84)	2021-05-20T02:38:05.560
2020	50578	City of Windsor	Windsor	Canada	North America	public	Biological hazards > Water-borne disease	Community engagement/education	Enhance surveillance for blue-green algae in our surface water bodies	Implementation	Assessment and evaluation activities; Awareness raising program or campaign; Education; Monitor activities; Policy and regulation	Ecosystem preservation and biodiversity improvement; Improved public health; Improved resource efficiency (e.g. food, water, energy); Improved resource quality (e.g. air, water); Improved resource security (e.g. food, water, energy)	Agriculture and Forestry; Fishery; Public Health and Safety; Water	In collaboration with the WECHU enhance education about the dangers of blue-green algae for water users; Develop and education campaign targeting fertilizer use and washing cars around storm water ponds; Develop a regional plan to reduce phosphorus levels in our environment.	Finance secured	Local	CAD Canadian Dollar				https://www.wechu.org/drinking-water-small-drinking-water-systems-beaches-pools-and-spas/blue-green-algae-bloom	233763	2018	POINT (-83.0364 42.3149)	2021-05-20T02:38:05.560
2020	50370	Municipalidad de Tampico	Tampico	Mexico	Latin America	public	Extreme hot temperature > Extreme hot days	Community engagement/education	Programa de Prevención de Riesgos	Implementation		Disaster preparedness; Disaster Risk Reduction		It is an action part of a permanent annual strategy, that is executed in the seasons, in which the presence of the vulnerability and the indicated risk is projected.	Feasibility undertaken	Local	MXN Mexican Peso					314418	2015	POINT (-99.0173 19.3599)	2021-05-20T02:38:05.560
