Year Reported to CDP	Account Number	Organization	City	Country	CDP Region	Access	City boundary	Type of target	Sector	Identify and explain sources that differ from the inventory	Target boundary relative to city boundary	Base year	Year of target introduction	Base year emissions (metric tonnes CO2e)	Percentage reduction target	Target year	Target year absolute emissions (metric tonnes CO2e)	Projected population in target year	Intensity unit (Emissions per)	Base year emissions per intensity unit (metric tonnes CO2e per denominator)	Estimated business as usual absolute emissions in target year (metric tonnes CO2e)	Percentage of target achieved so far	Select the initiatives that this target contributes towards	Description of the target and the modelling methodology(ies) and parameters used to define it	Does this target align with the global 1.5 - 2°c pathway set out in the Paris Agreement?	Does this target align or correspond to a requirement from a higher level of government?	Target description	Population	Population Year	City Location	Last update
2020	50555	City of Hamilton	Hamilton	Canada	North America	public	City / Municipality	Base year emissions (absolute) target	All emissions sources included in city inventory		Same – covers entire city and nothing else	2006	2019	23087326	100	2050	0					42.1	Declaring Climate Emergency; Global Covenant of Mayors for Climate & Energy; Individual City Commitment		Yes - 1.5 °C	Yes, but it exceeds its scale or requirement	City Council declares climate change emergency in 2019, directing staff to investigate actions for city to become net-carbon zero by 2050.	572575	2018	POINT (-79.8661 43.25)	2021-05-20T02:33:48.460
2020	73781	Singra		Bangladesh	South and West Asia	public																									2021-05-20T02:33:48.460
2020	60168	Derry City & Strabane	Derry	United Kingdom of Great Britain and Northern Ireland	Europe	public	Other, please specify: Derry City & Strabane District Council	Fixed level target	All emissions sources included in city inventory		Larger – covers the whole city and adjoining areas		2020			2045	0					0	Declaring Climate Emergency; Global Covenant of Mayors for Climate & Energy; ICLEI’s Green Climate Cities Program		Yes - 1.5 °C	Yes, but it exceeds its scale or requirement	The target for DCSDC is net zero emissions by 2045 which exceeds the UK government target of net zero by 2050	150679	2019		2021-05-20T02:33:48.460
2020	31153	City of Berlin	Berlin	Germany	Europe	public	Province / County	Base year emissions (absolute) target	All emissions sources included in city inventory		Same – covers entire city and nothing else	1990	2016	29300000	95	2050	1465000					37	Global Covenant of Mayors for Climate & Energy		Yes - 1.5 °C	Yes	Political target as laid down in the Berlin Energy and Climate Action Program 2030. National emission reduction target for 2050 is 80-95%.	3644800	2018	POINT (13.405 52.52)	2021-05-20T02:33:48.460
2020	54459	City of Reykjavík	Reykjavík	Iceland	Europe	public	City / Municipality	Base year emissions (absolute) target	All emissions sources included in city inventory		Same – covers entire city and nothing else	2015	2016	349000	73	2040	94230					0	Global Covenant of Mayors for Climate & Energy		Yes - 1.5 °C	No	Reykjavík aims to become carbon-neutral before the year 2040 and will adapt to climate change in a humane and nature based way. The action plan will be reviewed in 2020 and every five years after that in accordance with the Paris Agreement of 2015. The results will be evaluated every two years.	132080	2020	POINT (-21.8174 64.1265)	2021-05-20T02:33:48.460
2020	54098	City of Thunder Bay	Thunder Bay	Canada	North America	public	City / Municipality	Base year emissions (absolute) target	All emissions sources included in city inventory		Same – covers entire city and nothing else	2009	2014	1096951	20	2020	877560.8					6	This target does not contribute towards an initiative commitment		Do not know	No	Our target of 20% below 2009 levels by 2020 was set in 2014 prior to Canada signing the NDC in 2016. In our next edition of the  Sustainability Plan will update our target to 30% below 2009 levels by 2030 to align with Federal and Provincial targets.	107909	2016	POINT (-89.2477 48.3809)	2021-05-20T02:33:48.460
2020	10894	City of Los Angeles	Los Angeles	United States of America	North America	public	City / Municipality	Base year emissions (absolute) target	Other, please specify:  Target covers BASIC emissions only, although BASIC+ emissions are reported	Target covers BASIC emissions only, although BASIC+ emissions are reported	Same – covers entire city and nothing else	1990	2019	33248711	73	2035	8977151.97					33.6	Deadline 2020 - Delivering the 1.5 degree ambition of the Paris Agreement in a resilient, inclusive way; Individual City Commitment		Yes - 1.5 °C	Do not know	Target is based on scenario modelling that was determined to be consistent with a 1.5C pathway, per C40 climate action planning guidelines for cities. Compliance with C40 guidelines was assessed with an independent review.	4021488	2018	POINT (-118.244 34.0522)	2021-05-20T02:33:48.460
2020	848127	Santa Bárbara (Costa Rica)		Costa Rica	Latin America	public	City / Municipality	No target																				42778	2020		2021-05-20T02:33:48.460
2020	840521	City of Denizli		Turkey	Europe	public	Local government area within a greater city / metropolitan area	Baseline scenario (business as usual) target	All emissions sources included in city inventory	Total emissions of Denizli and the emissions per person of Denizli are estimated toincrease. In case of attaining the goal, it is being expected for Denizli’s emissions perperson to increase by 7%, while its total emissions would increase by 26% compared to2016. Attaining this goal will be one of the significant means of making the growth ofDenizli sustainable.Reduction target is determined as 21% reduction from the projected emissions in 2030,to be compatible with the INDC of Turkey. Following sectoral emission reductions havebeen projected in 2030 throughout Denizli under the action plan. These emissions shouldnot be considered as sectoral targets but as expected reduction s in different sectors.	Larger – covers the whole city and adjoining areas	2016	2030	7500000	21	2030					9500000	0		The Denizli Greenhouse Gas Inventory has been prepared in accordance with Global Protocol for Local GHG Emissions (GPC) which was prepared in 2014 by C40 Cities Climate Leadership Group (C40), the International Council of Local Environmental Initiatives (ICLEI) and the World Resources Institute (WRI) and which is widely used by local governments. The GPC was prepared on the basis of the IPCC National Greenhouse Gas Inventory Guidelines developed by the Intergovernmental Panel on Climate Change (IPCC) in 2006 and updated periodically. In this way, the results described in the following chapters are intended to be comparable and acceptable on a global scale.C40, ICLEI and WRI in the same collaboration created the inventory preparation tool “City Inventory Reporting and Information System - CIRIS) based on GPC for the local governments to prepare their inventories of greenhouse gases in a practical way and to meet a certain standard. CIRIS is the latest and most comprehensive GHG inventory preparation tool created in 2017, prepared in accordance with the IPCC emission sources categories for metropolitan cities. The Greenhouse Gas Inventory of Denizli 2016 was prepared using the standard version of CIRIS dated 17 August 2017 v2.1.	Yes - 1.5 °C	Yes	Denizli is a city which is continuing to expand. The fact that province’s population willreach to 1.1 million, which was 1 million in 2016, is present in the reports of TurkStat. In thatreport, it is anticipated that the population of the province would reach to 1.2 million in2030. Significant increase is being expected in between 2016 – 2030 in the parametersrelevant to greenhouse gas emission as industrial production, vehicle ownership andstock of buildings being in the first place. As per the modeling performed in the study,the emissions of Denizli for the year 2030 has been anticipated as 11.9 million tons ofCO2e. In the same year, the emissions per person are being expected to be 10.1 tonsof CO2e. A reduction target of 21% has been set for 2030. According to that, it is beinganticipated to decrease the emissions per person in 2030 in Denizli to 8.0 tons of CO2e,and to have the total emissions remain as 9.5 million tons of C O2e.Total emissions of Denizli and the emissions per person of Denizli are estimated toincrease. In case of attaining the goal, it is being expected for Denizli’s emissions perperson to increase by 7%, while its total emissions would increase by 26% compared to2016. Attaining this goal will be one of the significant means of making the growth ofDenizli sustainable.	1027782	2018		2021-05-20T02:33:48.460
2020	35755	Village of Kadiovacik	Urla	Turkey	Europe	public	Local government area within a greater city / metropolitan area	Fixed level target	Other, please specify: GHG decreasing projects	PV panel has been installed in Kadiovacik. Its area and capacity is 51 m2 and 8.2 kwh respectively. Additionally LED applications has been made.	Same – covers entire city and nothing else						0								Do not know	No		240	2019	POINT (26.5536 38.3434)	2021-05-20T02:33:48.460
2020	826209	Aipromades Lago de Chapala	Chapala	Mexico	Latin America	public																								POINT (-103.191 20.2962)	2021-05-20T02:33:48.460
2020	74607	Gemeente Alkmaar		Netherlands	Europe	public	City / Municipality	Base year emissions (absolute) target	All emissions sources included in city inventory		Same – covers entire city and nothing else	2010	2020	213	25	2024	159.75									Yes		109444	2020		2021-05-20T02:33:48.460
