Year Reported to CDP	Account Number	Organization	City	Country	CDP Region	Access	Renewable energy or electricity target implemented	Scale	Type	Energy / electricity types covered by target (including unit)	Base year	Total renewable energy / electricity covered by target in base year	Percentage renewable energy / electricity of total energy or electricity in base year	Target year	Total renewable energy / electricity covered by target in target year	Percentage renewable energy / electricity of total energy or electricity in target year	Percentage of target achieved	Please specify plans to meet the target(s) and in which sector this target will be implemented	Population	Population Year	City Location	Last update
2020	59562	City of Urbana, IL		United States of America	North America	public													41250	2010		2021-05-20T02:49:34.733
2020	831674	Município de Amarante	Amarante	Portugal	Europe	public	Do not know												56217	2011		2021-05-20T02:49:34.733
2020	52894	City of Winston-Salem	Winston-Salem	United States of America	North America	public	Not intending to undertake												246328	2018	POINT (-80.2442 36.0999)	2021-05-20T02:49:34.733
2020	35393	City of St Louis	St Louis	United States of America	North America	public	Yes	City-wide						2035		100		he Board of Aldermen of the City of St. Louis authorizes the City’s Sustainability Plan and calls for the City to commit to transition to 100 percent clean energy in the form of wind and solar and energy efficiency measures within the electricity sector by 2035.The Board of Aldermen requests that the City develops a plan by December 2018 to meet the clean energy goal through a transparent and inclusive stakeholder process which includes community members as well as representatives from organizations representing labor, faith, social justice, environmental justice, frontline communities and those most impacted by our current energy systems, public health and the environment, economic development, utility sector, clean energy sector, universities and academic institutions, business, housing, employment services, low income advocates, government, and any other relevant groups.	302838	2018	POINT (-90.1994 38.627)	2021-05-20T02:49:34.733
2020	35475	City of Calgary	Calgary	Canada	North America	public	Yes	City-wide			2006			2036		30		"In January of 2006 Calgary launched a massive public engagement initiative called ""imagineCalgary"" which asked participants to set aspirational goals in shaping the city's future in 30 years (2036) and 100 years.   In the ""energy"" category participants agreed on a goal that by 2036, 30 per cent of Calgary’s energy derives from low-impact renewable sources.The provincial government has made public statements around renewable energy targets for the Alberta grid. The Government of Alberta website says:""To increase the use of renewables to generate electricity and reduce emissions in Alberta, the government launched the Renewable Electricity Program. This program will add 5,000 megawatts of renewable electricity capacity by 2030 and puts Alberta on a path to achieve a target of 30 per cent renewable energy by that time.""The Government of Alberta is auctioning the contracts to build the new renewable energy generation in Alberta.  The competition ensures the renewable energy capacity will be delivered at attractive prices for Alberta's electricity rate payers.  Three successful bids from the first round of competition were announced Dec 13, 2017.From the Government of Alberta website:( https://www.alberta.ca/renewable-electricity-program.aspx )""Round one set a record for the lowest renewable electricity pricing in Canada with a weighted average price of 3.7 cents per kilowatt-hour. By comparison, the weighted average price for Ontario’s large renewable procurement in 2016 was 8.5 cents per kilowatt-hour.The successful companies will develop 600 megawatts of renewable electricity, enough to power 255,000 homes. This is 200 megawatts more than planned due to better-than-expected bid prices from developers. Projects will be operational by the end of 2019."""	1285711	2019	POINT (-114.071 51.0486)	2021-05-20T02:49:34.733
2020	54478	Gemeente Nijmegen	Nijmegen	Netherlands	Europe	public	Yes	City-wide			2008	20000	0.5	2020	200000	8.3	2.1	there are plans to make 2 solarfields, 2 local renewable district heating systems, the expasnion of the regionale district heating system, the placement of 2 windmills.	179000	2019	POINT (5.84282 51.8449)	2021-05-20T02:49:34.733
2020	841492	Tawau Municipal Council		Malaysia	Southeast Asia and Oceania	public													499200	2017		2021-05-20T02:49:34.733
2020	848131	Gámeza		Colombia	Latin America	public	Intending to undertake in the next 2 years												4468	2019		2021-05-20T02:49:34.733
2020	35449	Stadt Zürich	Zürich	Switzerland	Europe	public	Yes												434008	2019	POINT (8.53918 47.3686)	2021-05-20T02:49:34.733
2020	826237	Alcaldia de Madrid	Madrid (Colombia)	Colombia	Latin America	public	Intending to undertake in the next 2 years												127138	2020	POINT (-74.2642 4.73245)	2021-05-20T02:49:34.733
2020	54348	The Local Government of Quezon City	Quezon City	Philippines	Southeast Asia and Oceania	public	Intending to undertake in the next 2 years												3112436	2020	POINT (120.862 15.6835)	2021-05-20T02:49:34.733
2020	49327	City of Providence	Providence	United States of America	North America	public	Yes	City-wide	Electricity	All electricity consumed (percentage)				2035		50		By 2035, 50% of electricity is carbon-free.	179883	2019	POINT (-71.4128 41.824)	2021-05-20T02:49:34.733
2020	73668	Malabrigo		Argentina	Latin America	public													7620	2018		2021-05-20T02:49:34.733
2020	50572	City of Saint Paul, MN	Saint Paul	United States of America	North America	public	Yes	Local government operations	Energy	Other, please specify: achieve carbon neutrality in municipal building operations by 2030	2015			2030		100		Xcel Energy has plans to achieve 100% renewable generation by 2050 which will contribute towards the goal.  In 2020, 31% of the electricity generated by Xcel is certified renewable.Saint Paul purchases 20% (6 MW) of its electricity from community solar gardens.   Further actions outlined in the Climate Action and Resilience Plan include:1. Sector: Heating / Cooling  – CO-2 Accelerate the existing goal for city buildings to be carbon neutral from 2030 to 2025.2. Sector: Electricity – CO-5 Identify opportunities to deploy renewable thermal technologies (district heating, solar thermal, etc.)3. Sector: Transport – CO-8 Assess the city’s vehicle fleet to identify opportunities for electrifying, right-sizing, and improving overall efficiency of vehicles; install electric vehicle charging infrastructure in municipally-owned parking lots4. Sector: Transport - CO-9 Identify opportunities to convert heavy-duty vehicles to alternative fuels that reduce carbon emissions	315000	2020	POINT (-93.09 44.9537)	2021-05-20T02:49:34.733
2020	74575	Dane County		United States of America	North America	public	Yes	Local government operations	Electricity	All electricity consumed (in MWh)	2020	52997	16	2023	52997	100	16	We were actually at 100% renewable electricity for our operations two years ago.  A major portion (more than 80%) was met with six electric generators that ran on methane gas from our landfill.  We now have converted all of the methane production at the landfill to RNG transportation fuel and inject it in an interstate pipeline and have a contract with a Wisconsin based gas-station that sells the compressed gas on Wisconsin highways.  So now we are back to 16% renewable gas.  However, we just had a 9 MW solar array approved by the PSC that will be located at our airport and we will break ground on that project this year and complete it by next year, and we just announced a 20 MW solar array that we will develop by 2023.  At that point we will be back up to 100% renewable electricity.  We already/currently have electric production at a second (closed) landfill and behind-the meter solar arrays on 16 county buildings.	542400	2018		2021-05-20T02:49:34.733
