Questionnaire Name	Account Number	Account Name	Country	CDP Region	Parent Section	Section	Row Number	Row Name	Climate Hazards	Did this hazard significantly impact your city before 2020?	Current probability of hazard	Current magnitude of hazard	Social impact of hazard overall	Most relevant assets / services affected overall	Please identify which vulnerable populations are affected	Future change in frequency	Future change in intensity	Future expected magnitude of hazard	When do you first expect to experience those changes in frequency and intensity?	Please describe the impacts experienced so far, and how you expect the hazard to impact in the future
Cities 2020	1184	City of Austin	United States of America	North America	Climate Hazards and Vulnerability	Climate Hazards	1		Water Scarcity > Drought	Yes	High	High	Increased demand for healthcare services; Increased demand for public services; Increased risk to already vulnerable populations	Emergency services; Energy; Environment, biodiversity, forestry; Public health; Transport; Water supply & sanitation	Low-income households; Marginalized groups; Persons living in sub-standard housing	Increasing	Increasing	High	Immediately	2011 was the worst single-year Texas drought since record keeping began — and, until Hurricane Harvey, may prove to be one of most devastating economic events in Texas  history.Estimates by the Texas AgriLife Extension Service put Texas agricultural losses for the year at $5.2 billion. A December economic analysis by BBVA Compass Bank foundthat indirect drought losses to the state’s agricultural industries could add another $3.5 billion to the toll. Impact were substantial on agriculture,  trees and plants, industry, power generation, water supply, and residents. Although this year was unusually wet, we do not know if next year, or the following year, will bring extreme flooding or drought.. or both.
Cities 2020	1184	City of Austin	United States of America	North America	Climate Hazards and Vulnerability	Climate Hazards	2		Flood and sea level rise > Flash / surface flood	Yes	High	High	Increased demand for public services; Increased risk to already vulnerable populations; Population displacement	Commercial; Emergency services; Information & communications technology; Public health; Residential; Water supply & sanitation	Low-income households; Marginalized groups; Persons living in sub-standard housing; Persons with disabilities; Unemployed persons	Increasing	Increasing	High	Immediately	During the evening hours of October 30 and into the morning hours of October 31 2013, Walnut Creek, Shoal Creek, Williamson Creek, and Bull Creek all flooded out of their banks. However, the most significant flooding occurred along lower Onion Creek in southeast Austin. Flooding in the Onion Creek watershed exceeded the record stage and flow at the United States Geological Service (USGS) gauge located at U.S. Highway 183 South. The provisional data from the USGS indicated that this gauge peaked at 40.15 feet, which broke the previous record of 38.00 feet from the September 9, 1921, Storm. In Austin/Travis County, there were 745 homes that received some level of flood damage. Of these, 116 were completely destroyed, 441 received major damage, 122 had minor damage and 66 were reported as being affected - all in low-income communities. In Travis County, four people lost their lives due to this storm. Climate modeling indicates that these types of events are likely to happen more often and with potentially greater intensity.
Cities 2020	1184	City of Austin	United States of America	North America	Climate Hazards and Vulnerability	Climate Hazards	3		Extreme hot temperature > Extreme hot days	Yes	High	Medium	Fluctuating socio-economic conditions; Increased demand for healthcare services; Increased risk to already vulnerable populations	Energy; Public health; Water supply & sanitation	Elderly; Low-income households; Marginalized groups; Persons living in sub-standard housing; Persons with chronic diseases; Persons with disabilities; Unemployed persons	Increasing	Increasing	Medium	Immediately	Increased energy operating costs, Increased cost of infrastructure maintenance, Loss of field staff productivity, Vegetation change and loss, Water supply availability, Air quality impacts, Decreased local food production, Increased heat stress at home on vulnerable populations, Worker safety, Increased utility usage/cost of living
Cities 2020	1184	City of Austin	United States of America	North America	Climate Hazards and Vulnerability	Climate Hazards	4		Wild fire > Forest fire	Yes	High	High	Increased demand for healthcare services; Increased demand for public services; Population displacement	Emergency services; Environment, biodiversity, forestry; Public health; Residential	Children & youth; Elderly; Low-income households; Marginalized groups; Persons living in sub-standard housing; Persons with chronic diseases; Persons with disabilities	Increasing	Increasing	Medium	Immediately	Increase in respiratory and cardiovascular illness and deaths caused by smoke from heat and drought-related wildfires. Based on climate change projections, the extreme heat, drought,and wildfires of the summer of 2011 will become less exceptional, resulting in changes to the way we plan for and respond to extreme weather events.
Cities 2020	1499	Ajuntament de Barcelona	Spain	Europe	Climate Hazards and Vulnerability	Climate Hazards	1		Extreme hot temperature > Heat wave	Yes	High	Medium High	Increased demand for healthcare services; Increased demand for public services; Increased incidence and prevalence of disease and illness; Increased risk to already vulnerable populations	Emergency services; Energy; Public health; Residential	Children & youth; Elderly; Low-income households; Persons living in sub-standard housing; Persons with chronic diseases; Women & girls	Increasing	Increasing	High	Medium-term (2026-2050)	Barcelona currently has an average annual temperature of 17.6ºC. Barcelona may experience a 1.6ºC increase in average annual temperature by the middle of the century and 1.7ºC by 2100, in the case of global emissions being reduced in accordance with the Paris agreements (committed scenario or RCP 4.5). This forecast could get worse if the current levels of emissions continue (passive scenario or RCP 8.5), producing a 2ºC temperature increase by the middle of the century and 3ºC by 2100. With regard to hot days (temperatures above 30ºC), Barcelona currently has an average of 22 days a year. Current models suggest an increase to 50 days a year by the end of the century for the committed scenario and 80 days a year for the passive scenario. In both scenarios, the areas most affected by high temperatures are those furthest from the sea, as its thermoregulatory effect does not reach them. Similarly, simulations carried out also suggest that in coming years heat waves may be more numerous, more severe and have a longer duration. Barcelona currently suffers an average of 1 heat wave every 4 years. In coming years, this number will increase, reaching 1 heat wave a year in the pledgedcommitted scenario and 4 or 5 heat waves a year in the passive scenario. Another major aspect is the foreseeable increase in the duration of these heat waves. An average increase of 3 days for the committed scenario and between 6 and 8.6 days for the passive scenario. In 2019 the city suffered  a heat wave that lasted 3 days. From 2015 to 2019 the city registered 4 heat wave event which represents 4 heat waves every 5 years.The results obtained by the RESCCUE project confirm the trends of climate change showed by the Climate Plan. The new climate projections developed within the project framework foresee that temperatures will increase progressively during the next years, been more heavily increased in summer. Also heat waves are expected to be more intense, lasting and long.
Cities 2020	1499	Ajuntament de Barcelona	Spain	Europe	Climate Hazards and Vulnerability	Climate Hazards	2		Extreme Precipitation > Rain storm	Yes	Medium High	Medium High	Other, please specify: impact on mobility services and afectations to waste collection services and power outages. Impacts on green infrastructure.	Emergency services; Environment, biodiversity, forestry; Other, please specify: Green infrastrucure; Transport; Waste management; Water supply & sanitation		Increasing	Increasing	High	Medium-term (2026-2050)	The general trends observed indicate that, among other things, there are two impacts associated with climate change that may affect flood risk: changes in rainfall patterns and rising sea levels. Regarding the former, most projections indicate that there may be an increase in rainfall intensity and a greater concentration of extreme episodes. Increased rainfall intensity may cause certain areas of the city to flood, as it will increase the flow of circulating water and test the city's drainage system to its limits. The second aspect is higher sea levels, which may condition the functioning of the drainage system in extreme situations. Under extreme conditions, an increase in sea level would mean that the overflow channels would not work properly, causing higher water levels in the network that could cause overflow at the surface, and therefore flooding in the street. The risk of flooding would affect some areas of the city more than others. For current situations, the conclusion is that for rainfall with a return period of 10 years (T10), The drainage system can function correctly (although it functions under pressure in some sections), but the two future scenarios under analysis both forecast flooding in some locations.The results obtained by the RESCCUE project shows that intensity of heavy rainfall events will increase from 20 to 40 % depending on the climate change scenario considered, RCP 4.5 or RCP 8.5 respectively.
Cities 2020	1499	Ajuntament de Barcelona	Spain	Europe	Climate Hazards and Vulnerability	Climate Hazards	3		Water Scarcity > Drought	Yes	Medium High	Medium High		Emergency services; Environment, biodiversity, forestry; Food & agriculture; Industrial; Public health; Residential; Tourism; Water supply & sanitation		Increasing	Increasing	High	Medium-term (2026-2050)	The effect that climate change can have on the water cycle, as the different projections seem to indicate, is a slight decrease in resources, especially towards the end of the century, and above all greater variability in the availability of water resources, with increases in both periods of drought and possible flooding in extreme periods. A slight increase in demand is also forecast. This will aggravate the deficit in the supply that the city is already suffering today. Specifically, a reduction of 12% in surface resources and a reduction of 9% in underground resources are forecast by 2050. On the other hand, increased demand on the part of different city uses is estimated to be around 4%. There will there be an additional resource need for drinking water in general for the Barcelona Metropolitan Area of 34 hm3/year and for Barcelona city this is estimated at 18hm3/year.Eventhought 2018 has been one of the most rainy years of the historical series, we came forma a period of 4 extremely dry years which entailed the drought pre-alert by january 2018. Regarding 2019, no drought events have been suffered in Barcelona and Catalonia region.The results obtained by the RESCCUE project shows that the increase of evapotranspiration and the decrease of snowfall will reduce the watershed resources.
Cities 2020	1499	Ajuntament de Barcelona	Spain	Europe	Climate Hazards and Vulnerability	Climate Hazards	4		Wild fire > Forest fire	Yes	Medium High	Medium High		Emergency services; Environment, biodiversity, forestry		Increasing	Increasing	High	Medium-term (2026-2050)	Although there are other factors associated with global change that directly impact on fire risk, the increase in temperatures and decrease in precipitation caused by the effects of climate change, which will lead to plants suffering increased hydric stress, increasing their flammability, will favour an increase in the risk of forest fire. The future danger of fire shows us a situation similar to current danger, but with a slight overall increase in danger. The change in danger with the addition of climate change means an overall worsening across the territory, but with no specific area standing out particularly in terms of increased risk of more fires.Currently fire risk affects 1,000km of the road network, with the risk considered high and 39% of the railway network is also affected by high risk to fires (both roads and railway lines). Forest fires pose the greatest risk to energy infrastructure This risk already exists today, although it is expected that the impact of climate change will slightly worsen the trend compared to the current situation. This impact is mainly felt on electricity lines located in Collserola Park, but the greatest risk is to infrastructure in the metropolitan area, with a lower incidence in Barcelona. Fire risk affects 96% of overhead electricity lines and 44 substations, all considered high risk.
Cities 2020	1499	Ajuntament de Barcelona	Spain	Europe	Climate Hazards and Vulnerability	Climate Hazards	5		Biological hazards > Air-borne disease	Yes	Medium	Low	Increased demand for healthcare services; Increased incidence and prevalence of disease and illness	Environment, biodiversity, forestry; Public health	Children & youth; Elderly; Persons with chronic diseases	Increasing	Increasing	Do not know	Short-term (by 2025)	Main pollutant in the city of Barcelona are nitrogen oxides (NOx) produced by burning fuel in vehicle transit (mainly diesel), so the higher concentration levels are found very close to the emission source. In normal conditions, this pollution is spread due to the effect of the wind and exported outside the city confines. The problem occurs when in atmospherically stable conditions (intense and persistent anti-cyclonic conditions that can also cause heat inversions) the concentration of the pollutant increases and creates a regional accumulation as a result of the stagnation of air masses.  Climate change could lead to an increase in the annual concentration of atmospheric pollutants, projections show an increase in the annual concentration of the pollutants analysed. The increase would be greatest in PM10 particles, average in NO2 and minimal in O3. All in all, under the hypothesis that emissions would be maintained, since it has not been possible to quantify its evolution over time. There has, however, been a downward trend in recent years, a foreseeable technological improvement, and changes in patterns of consumption and energy model are anticipated, which may have a significant impact on emissions levels in the future.It is forecast that for NO2 the number of high concentration days  could see an overall increase of 22% by the end of the century in both considered scenarios, which would mean 7 more days a year on top of the 30-day annual average at present. The effect of the concentration increase will be greatest in the summer months.In terms of suspended particlesparticulate matter (PM10), it is predicted that by the end of the century the number of high concentration days could increase up to 41% for the “committed” scenario and 60% in the “passive” scenario . The current annual average is 40 days, and according to forecasts they would increase by 16-24 days a year. The increase would be year-round, but mainly in the spring and summer.The increase in O3 is predicted to be low. Projections show that up to the end of the century there will be a overall increase in high concentration  days from 12-13% respectively in the “committed” and “passive” scenarios. With regard to the annual average of 18 days, in the current situation this would mean between 2 and 3 days more a year by the end of the century.
Cities 2020	1499	Ajuntament de Barcelona	Spain	Europe	Climate Hazards and Vulnerability	Climate Hazards	6		Extreme hot temperature > Extreme hot days	Yes	High	Medium High	Increased demand for healthcare services; Increased demand for public services; Increased incidence and prevalence of disease and illness; Increased resource demand; Increased risk to already vulnerable populations	Emergency services; Energy; Public health; Residential; Water supply & sanitation	Elderly; Low-income households; Persons living in sub-standard housing; Persons with chronic diseases	Increasing	Increasing	High	Medium-term (2026-2050)	With regard to hot days (temperatures above 30ºC), Barcelona currently has an average of 22 days a year. Current models suggest an increase to 50 days a year by the end of the century for thecommitted scenario and 80 days a year for the passive scenario. In both scenarios, the areas most affected by high temperatures are those furthest from the sea, as its thermoregulatory effect does not reach them. For the extreme case of torrid days (temperatures above 35ºC), the current average is nearly 1 day every 2 years. Under the committed scenario, simulations indicate that these phenomena will increase by approximately 2 days a year, while under the passive scenario the predicted increase will be 8 days.In 2018 the city suffered 30,6 hot days, which means an increase of 40% more than the average. Regarding torrid days, the city suffered 2,2 days, which was the estimated increase for the committed scenario.
